card_cm_bank12m_pct,card_cm_bank24m_pct,card_cm_bank60m_pct
-1.0,-1.0,-1.0
0.0,0.067,0.9329999999999999
0.0,0.5,1.0
0.0,0.0,0.0
0.0,0.8,1.0
0.0,0.14300000000000002,0.7140000000000001
0.0,0.0,0.14300000000000002
0.6,0.6,0.8
0.2,1.0,1.0
0.0,0.14300000000000002,0.28600000000000003
0.0,0.125,0.625
0.14300000000000002,0.214,0.5
0.071,0.35700000000000004,1.0
0.0,0.0,0.643
0.0,0.0,1.0
-1.0,-1.0,-1.0
0.3,0.4,1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
0.0,0.0,1.0
0.062,0.25,0.562
0.0,0.5,0.75
0.0,0.0,0.0
0.0,0.444,0.778
0.0,0.0,0.5
0.0,0.0,0.5
0.0,0.75,1.0
0.0,0.33299999999999996,1.0
1.0,1.0,1.0
1.0,1.0,1.0
-1.0,-1.0,-1.0
0.16699999999999998,0.25,0.667
0.0,0.0,1.0
0.33299999999999996,0.33299999999999996,1.0
0.0,1.0,1.0
-1.0,-1.0,-1.0
0.0,0.0,0.28600000000000003
0.0,0.33299999999999996,1.0
0.0,0.0,0.0
0.071,0.14300000000000002,0.929
0.0,0.25,0.5
0.033,0.033,1.0
0.0,0.0,1.0
0.0,0.0,1.0
-1.0,-1.0,-1.0
0.0,0.308,0.462
0.0,0.0,0.0
0.111,0.222,0.778
0.0,0.8,0.9329999999999999
0.0,0.067,0.067
